Year Reported to CDP,Account Number,Organization,City,Country,,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update,Water 2014 - Number of drivers,City,lon,lat,Per capita Emissions (tonnes),Country total emissions 2020 (tonnes)
2018,60419,Municipalidad de Rio Grande,Rio Grande,Argentina,Argentina,Latin America,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,981954,,12815,810086,810086,Do not know,Other,,84246,2017,POINT (-67.7002 -53.786),2020-01-12T04:30:40.780,241,POINT,-67.7002,-53.786,9.615720628,389306260.5
2018,31110,Roma Capitale,Roma,Italy,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,8407712,8223615,105196,16736522,16736522,Do not know,Other,,2876.614,2017,POINT (12.2858 41.53),2020-01-12T04:30:40.780,,POINT,12.2858,41.53,5818.132707,427008841.8
2019,54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"O presente relatório apresenta o inventário realizado de acordo com os requisitos do reporte BASIC+.Foram realizadas reuniões para a coordenação da coleta de dados com atores internos e externos, sendo necessário o levantamento junto a algumas divisões da Prefeitura, como para os setores de Transporte e Resíduos.O processo de coleta dos dados referentes à Refinaria Henrique Lage (REVAP) e da unidade fabril da Monsanto, ambas localizadas dentro dos limites do município, foi realizado por meio de ofícios solicitados pela Prefeitura de São José dos Campos, tendo como resposta o recebimento dos inventários de 2016 e 2017 das duas unidades industriais requisitadas.",No,"CH4, CO2, N20",,,,,,,4180378,152272,39604,4246921,4372256,Do not know,Lack of documentation,,713943,2017,POINT (-45.8783 -23.1848),2020-01-12T04:30:42.857,,POINT,-45.8783,-23.1848,5.948543511,1105067347
2019,31184,Prefeitura de São Paulo,São Paulo,Brazil,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,12989951,2533064,607946,16130962,,,,,11253503,2017,POINT (-46.7382 -23.5595),2020-01-12T04:30:42.857,,POINT,-46.7382,-23.5595,1.433416955,1105067347
2019,42120,City of Salvador,Salvador,Brazil,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2013-01-01 - 2013-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,3242166,366395,90402,3661647,0,Stayed the same,No new inventory to report,,2857329,2018,POINT (-38.5023 -12.973),2020-01-12T04:30:42.857,,POINT,-38.5023,-12.973,1.281492961,1105067347
2018,43905,City of San Antonio,San Antonio,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,14770253,14770253,Decreased,Change in available data,,1469845,2015,POINT (-98.4936 29.4241),2020-01-12T04:30:40.780,,POINT,-98.4936,29.4241,10.04885073,6718634480
2019,31182,City of San Francisco,San Francisco,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),San Francisco inventories are completed in accordance with the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC). San Francisco has been tracking its emissions since 1990 in which the methodology and sectors tracked were third party verified during inventory year 2012. Current GHG inventories are completed according to the guidance of verifiers in 2012 and continues to disclose emissions under the GPC framework for reporting purposes to and compliance with the Global Covenant of Mayors (GCOM).,No,"CH4, CO2, N20",,,,,,,4335772.32,507037.85,344023.48,5005860.76,5127810.23,Decreased,Legislative change: Methodology Change,,884363,2017,POINT (-122.419 37.7749),2020-01-12T04:30:42.857,,POINT,-122.419,37.7749,5.660414061,6718634480
2018,31182,City of San Francisco,San Francisco,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2017-01-01,Other: Geopolitical Boundary,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,4013141,803994,290930,5108064,5201049,Decreased,Policy change,,870887,2016,POINT (-122.419 37.7749),2020-01-12T04:30:40.780,,POINT,-122.419,37.7749,5.865357963,6718634480
2018,50378,Municipalidad de San José,San José,Costa Rica,Costa Rica,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,-2060,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,939862.57,49328,79127,1116787.51,,This is our first year of calculation,,,342188,2017,POINT (9.9326 -84.0796),2020-01-12T04:30:40.780,,POINT,9.9326,-84.0796,3.263666493,17364614.96
2019,59631,"City of San Leandro, CA",San Leandro,United States,United States,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,548456.82,102335.19,22639.85,671166.78,673431.86,Increased,Population increase,,90553,2019,POINT (-122.156 37.7249),2020-01-12T04:30:42.857,,POINT,-122.156,37.7249,7.411866863,6718634480
2018,59631,"City of San Leandro, CA",San Leandro,United States,United States,North America,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,548456.82,102335.19,22639.85,671166.78,673431.86,Increased,Population increase,,90465,2016,POINT (-122.156 37.7249),2020-01-12T04:30:40.780,,POINT,-122.156,37.7249,7.41907677,6718634480
2018,74531,Santa Fe County,Santa Fe County,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1307967,503122,33245,1789058,,This is our first year of calculation,,,149790,2017,POINT (-106 35.5),2020-01-12T04:30:40.780,90,POINT,-106,35.5,11.94377462,6718634480
2018,54110,City of Santa Monica,Santa Monica,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,862781,,,1110480,1110480,Decreased,Policy change,,92478,2016,POINT (-118.481 34.0219),2020-01-12T04:30:40.780,,POINT,-118.481,34.0219,12.00804516,6718634480
2019,31180,Región Metropolitana de Santiago,Santiago,Chile,Chile,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"In the Metropolitan Region the GHG inventory was made with the BASIC-GPC protocol.Also the Environment Ministry will publish this year the actualization of the regionalization of the GHG inventory of Chile by 2016, this inventory considers 2006 IPCC guidelines to report and has the compilation of data since 1990 (link: www.snichile.cl).",No,"CH4, CO2, N20",,,,,,,16244641,7814351,2596311,23183210,,Decreased,Change in calculation following verification,,7915199,2019,POINT (-70.6693 -33.4489),2020-01-12T04:30:42.857,,POINT,-70.6693,-33.4489,2.92894847,112181059.2
2019,74427,City of Sarasota,Sarasota,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,220114,407299,41350,668763,,Decreased,,,56000,2016,POINT (27.3364 82.5307),2020-01-12T04:30:42.857,,POINT,27.3364,82.5307,11.94219643,6718634480
2018,16581,City of Seattle,Seattle,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3318000,64000,88000,3470000,,Decreased,Policy change,,725000,2017,POINT (-122.332 47.6062),2020-01-12T04:30:40.780,,POINT,-122.332,47.6062,4.786206897,6718634480
2018,31187,Seoul Metropolitan Government,Seoul,Republic of Korea,#N/A,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,22581000,21572000,1492000,45646000,45646000,Decreased,Policy change,,10112070,2017,POINT (126.978 37.5665),2020-01-12T04:30:40.780,85,POINT,126.978,37.5665,4.514011473,#N/A
2019,43917,Sofia Municipality,Sofia,Bulgaria,Bulgaria,Europe,"CDP Cities, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The inventory covers the following sectors: residential, municipal and tertiary buildings, equipment and facilities; manufacturing industries and construction; agriculture and forestry; fugitive emissionsfrom natural gas systems; road, railroad and aviation transport, waste management and waste water treatment. For each of the sectors identified in the methodology, the available data in the municipality of Sofia has been collected. Additional information from a large number of private and public organizations has also been obtained. The inventory covers all of the 24 districts of Sofia municipality.",No,"CH4, CO2, N20",,,,,,,2785108,,,5124843,,Decreased,,,1479902,2019,POINT (23.3219 42.6977),2020-01-12T04:30:42.857,64,POINT,23.3219,42.6977,3.462961061,65316541.44
2018,43917,Sofia Municipality,Sofia,Bulgaria,Bulgaria,Europe,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2785108,3602304,,5124843,,Decreased,Technological change,,1325429,2017,POINT (23.3219 42.6977),2020-01-12T04:30:40.780,64,POINT,23.3219,42.6977,3.86655415,65316541.44
2018,58531,"City of Somerville, MA",Somerville,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,467600,124237,26537,612200,618374,Decreased,Change in weather conditions,,79507,2016,POINT (-71.0826 42.3934),2020-01-12T04:30:40.780,,POINT,-71.0826,42.3934,7.699950948,6718634480
2018,50559,"City of St Catharines, ON",St Catharines,Canada,Canada,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,903407,46436,91211,1041054,,Stayed the same,Emissions have not changed,,131400,2014,POINT (-79.2469 43.1594),2020-01-12T04:30:40.780,42,POINT,-79.2469,43.1594,7.922785388,737274611.1
2018,35393,City of St Louis,St Louis,United States,United States,North America,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2882605,,,7203267,7219170,Stayed the same,No new inventory to report,,319294,2010,POINT (-90.1994 38.627),2020-01-12T04:30:40.780,46,POINT,-90.1994,38.627,22.55998234,6718634480
2019,49172,City of St. Petersburg,St. Petersburg,United States,United States,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,1428892,1356551,184213,2693166,,Do not know,Lack of documentation,,266000,2017,,2020-01-12T04:30:42.857,,,,,10.12468421,6718634480
2019,3429,City of Stockholm,Stockholm,Sweden,Sweden,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Latest available data is from 2017.The total emissions for the community include:Scope 1 & 3 emissions from district heating & cooling system and other in-boundary fuel combustion for heatingScope 2 & 3 emissions of the district heating and house-hold electricity consumption within the community boundaryScope 1 & 3 emissions of use of gas e.g. cookingScope 2 & 3 emissions for electricity use in the transportation system (metro, commuter, train) within the communityScope 1 & 3 emissions for the fuel consumption from road traffic, non-road vehicles and shipping, & scope 1 emissions from aviation (within the landing & take-off cycle, i.e. up to 915m).This means that scope 3 emissions from transport of inhabitants outside the community boundary is not included (but transport of non-inhabitants within the community boundary is). Emission from household waste incineration is embedded in the district heating emissions, since household waste is a source of energy used in district heating. Energy use for waste-water handling is included in the total community energy use.Emission factors are collected from a report published by Swedish Environmental Research Institute Ltd. (IVL) in 2001 and Thermal Engineering Research Institute (Värmeforsk) in 2011. The reports are widely used and acknowledged. The global warming potentials are GWP100 from IPCC 2013, as recommended by the Swedish Environmental Protection Agency (SEPA).Energy statistics are collected from different sources: district heating & gas statistics are collected from the companies; electricity statistics is compiled and collected from Statistics Sweden; emissions from road transport is modeled using an extensive emission model combined with a road model over Stockholm (includes a variety vehicles, speeds, road types etc) and non-road emissions are taken from Statistics Sweden; marine emissions within the community boundary are based on emissions & energy use presented in environmental reports from shipping companies and Ports of Stockholm.",No,"CH4, CO2, N20",,,,,,,1776007,762200,36794,1715597,1752391,Decreased,Technological change,,949761,2017,POINT (18.0686 59.3293),2020-01-12T04:30:42.857,,POINT,18.0686,59.3293,1.806346018,55116270.55
2018,3429,City of Stockholm,Stockholm,Sweden,Sweden,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1842097,828365,40453,1823388,1863841,Decreased,Technological change,,935619,2016,POINT (18.0686 59.3293),2020-01-12T04:30:40.780,,POINT,18.0686,59.3293,1.948857387,55116270.55
2018,44185,Suwon City,Suwon,Republic of Korea,#N/A,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3529808.292,2066189.72,15630.46,5611628.469,,Increased,Population increase,,1240480,2017,POINT (126.805 37.17),2020-01-12T04:30:40.780,,POINT,126.805,37.17,4.523755699,#N/A
2019,44185,Suwon City,Suwon,Republic of Korea,#N/A,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,3549896,2170292,16678,5736865,,Increased,Population increase,,1242212,2018,POINT (126.805 37.17),2020-01-12T04:30:42.857,,POINT,126.805,37.17,4.618265642,#N/A
2018,54026,City of Tacoma,Tacoma,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,962074,67395,71639,1074905,1101108,Decreased,Financial conditions,,211277,2016,POINT (-122.444 47.2529),2020-01-12T04:30:40.780,,POINT,-122.444,47.2529,5.087657435,6718634480
2019,54026,City of Tacoma,Tacoma,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,962074,67395,71639,1074905,,Decreased,Financial conditions,,216279,2018,POINT (-122.444 47.2529),2020-01-12T04:30:42.857,,POINT,-122.444,47.2529,4.969992463,6718634480
2019,54389,Taichung City Government,Taichung,Taiwan,Taiwan,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Taiwan has promulgated the “Guideline of GHG Inventory for County and Municipal Government” in 2011, the guideline has been revised according to the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories from ICLEI. With the latest GPC concept and methodology, the inventory has compliance with international regulation.",No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,57023748.4,15540054.6,1032598.3,62173728,73596401.4,Increased,Increased energy/electricity consumption,,2803894,2018,POINT (120.647 24.1619),2020-01-12T04:30:42.857,,POINT,120.647,24.1619,22.17406507,287778804.1
2018,54389,Taichung City Government,Taichung,Taiwan,Taiwan,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,19233095.5,14357068.4,879810.4,23195411.1,34469974.3,Increased,Increased energy/electricity consumption,,2792164,2017,POINT (120.647 24.1619),2020-01-12T04:30:40.780,,POINT,120.647,24.1619,8.307324033,287778804.1
2018,31446,Taipei City Government,Taipei,Taiwan,Taiwan,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3649758,8744742,540497,12391612,12934997,Increased,Increased energy/electricity consumption,,2683257,2017,POINT (121.564 25.0375),2020-01-12T04:30:40.780,,POINT,121.564,25.0375,4.618123422,287778804.1
2018,50354,Alcaldía de Tegucigalpa,Tegucigalpa,Honduras,Honduras,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2011-01-01 - 2011-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,5034285.67,,,1068686.46,1233586.99,Do not know,Other: the inventory is currently in the proces,,1225043,2017,POINT (-87.2044 14.1051),2020-01-12T04:30:40.780,,POINT,-87.2044,14.1051,0.872366488,20926629.23
2019,50354,Alcaldía de Tegucigalpa,Tegucigalpa,Honduras,Honduras,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2011-01-01 - 2011-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,5034286,,,1068686.46,1233587,Do not know,Other: the inventory is currently in the proces,,1225043,2017,POINT (-87.2044 14.1051),2020-01-12T04:30:42.857,,POINT,-87.2044,14.1051,0.872366488,20926629.23
2018,35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo,Israel,Israel,Middle East,"CDP Cities, C40",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,2635614,,Decreased,Change in available data,,438820,2016,POINT (34.7823 32.0816),2020-01-12T04:30:40.780,,POINT,34.7823,32.0816,6.006139191,89920748.24
2018,53921,"City of Tempe, AZ",Tempe,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2016-01-01,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1285662.84,,,3187650.72,4577183.32,Do not know,Lack of documentation,,175826,2015,POINT (-111.94 33.4255),2020-01-12T04:30:40.780,59,POINT,-111.94,33.4255,18.12957538,6718634480
2018,43930,The Hague,The Hague,Netherlands,Netherlands,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1010243,577435,107415,1695093,,Increased,Population increase,,525745,2017,POINT (4.3007 52.0705),2020-01-12T04:30:40.780,,POINT,4.3007,52.0705,3.224173316,209307309.8
2019,43930,The Hague,The Hague,Netherlands,Netherlands,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,CO2,,,,,,,979650,573182,108563,1552832,,Decreased,Policy change,,539040,2019,POINT (4.3007 52.0705),2020-01-12T04:30:42.857,,POINT,4.3007,52.0705,2.880736123,209307309.8
2018,31111,Tokyo Metropolitan Government,Tokyo,Japan,Japan,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-04-01 - 2016-03-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,21523714,39523566,185820,61233101,61233101,Decreased,,,13857664,2017,POINT (139.41 35.41),2020-01-12T04:30:40.780,,POINT,139.41,35.41,4.418717397,1255128532
2019,31111,Tokyo Metropolitan Government,Tokyo,Japan,Japan,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-04-01 - 2017-03-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,25150295,37437787,13546749,57996872,76134832,Decreased,Other,,13857443,2019,POINT (139.41 35.41),2020-01-12T04:30:42.857,,POINT,139.41,35.41,4.185250627,1255128532
2018,31117,City of Toronto,Toronto,Canada,Canada,North America,"CDP Cities, C40",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,14709387,891143,2982731,18078458,18195192,Decreased,Change in available data,,2731571,2016,POINT (-79.3832 43.6532),2020-01-12T04:30:40.780,42,POINT,-79.3832,43.6532,6.618337213,737274611.1
2019,54613,Alcaldia de Valdivia,Valdivia,Chile,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2012-05-26 - 2013-05-26,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"El inventario de emisiones de GEI se plantea de acuerdo al Protocolo ""Global Protocol For Community - Scale Greenhouse Gas Emissions (GPS)"" - Pilot Version 1.0  con alcance Basic +. Considera todas las emisiones de alcance 1 y 2 de unidades estacionarias, unidades móviles, residuos, procesos industriales y usos de productos, así como la agricultura, silvicultura y otros usos de la tierra (AFOLU). Además se incluyeron las emisiones de alcance 3 del sector residuos y de las unidades móviles.",No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,877816,0,31851,419319,643973,This is our first year of calculation,Lack of knowledge overcome,,166080,2017,,2020-01-12T04:30:42.857,,,,,2.524801301,112181059.2
2018,20113,City of Vancouver,Vancouver,Canada,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2536992,58204,105937,2698097,2698097,Increased,Change in weather conditions,,631486,2016,POINT (-123.114 49.2612),2020-01-12T04:30:40.780,,POINT,-123.114,49.2612,4.272615703,737274611.1
2019,20113,City of Vancouver,Vancouver,Canada,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The City has compiled a GPC-compliant inventory for 2018 as a Global Covenant of Mayors signatory.,No,"CH4, CO2, N20",,,,,,,2399259,58217,98392,2551251,2551251,Decreased,Change in weather conditions,,642686,2018,POINT (-123.114 49.2612),2020-01-12T04:30:42.857,,POINT,-123.114,49.2612,3.969669481,737274611.1
2019,36254,Comune di Venezia,Venezia,Italy,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,8735271,618544,15396,3103390,3662037,Decreased,Behavioural change,,260520,2018,POINT (12.3211 45.4333),2020-01-12T04:30:42.857,,POINT,12.3211,45.4333,11.9122908,427008841.8
2018,36254,Comune di Venezia,Venezia,Italy,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,8735271,618544,15396,3103390,3662037,Decreased,Behavioural change,,261905,2016,POINT (12.3211 45.4333),2020-01-12T04:30:40.780,,POINT,12.3211,45.4333,11.8492965,427008841.8
